freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
406-406.1,0.4060-0.4061,kHz,,,,MOBILE-SATELLITE (Earth-to-space),5.266 5.267,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
406.1-410,0.4061-0.4100,kHz,,,,FIXED | MOBILE | RADIO ASTRONOMY US74,US13 US55 US117 G5 G6,RADIO ASTRONOMY US74,US13 US55 US117,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
410-420,0.4100-0.4200,kHz,,,,FIXED | MOBILE | SPACE RESEARCH | (space-to-space) 5.268,US13 US55 US64 G5,,US13 US55 US64,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
415-435,0.4150-0.4350,kHz,,,,MARITIME MOBILE 5.79 | AERONAUTICAL RADIONAVIGATION,US2,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
420-450,0.4200-0.4500,kHz,,,,RADIOLOCATION G2 G129,5.286 US64 US87 US230 US269 US270 US397 G8,Amateur US270,5.282 5.286 US64 US87 US230 US269 US397,"Ham radio transceivers, SDR receivers; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
435-472,0.4350-0.4720,kHz,,,,MARITIME MOBILE 5.79 | Aeronautical radionavigation,5.82 US2 US231,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
450-454,0.4500-0.4540,kHz,,,,,5.286 US64 US87,LAND MOBILE,5.286 US64 US87 NG112 NG124,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
454-456,0.4540-0.4560,kHz,,,,,US64,FIXED | LAND MOBILE,US64 NG32 NG112 NG148,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
455-456,0.4550-0.4560,kHz,FIXED | MOBILE 5.286AA | MOBILE-SATELLITE (Earth-to- | space) 5.286A 5.286B 5.286C,5.209,FIXED | MOBILE 5.286AA,,,LAND MOBILE,US64,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
456-459,0.4560-0.4590,kHz,,,,,US64 US287 US288,FIXED | LAND MOBILE,US64 US287 US288 NG32 NG112 NG124 NG148,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
459-460,0.4590-0.4600,kHz,FIXED | MOBILE 5.286AA | MOBILE-SATELLITE (Earth-to- | space) 5.286A 5.286B 5.286C,5.209,FIXED | MOBILE 5.286AA,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
460-470,0.4600-0.4700,kHz,,,,Meteorological-satellite | (space-to-Earth),US73 US209 US287 US288 US289,FIXED | LAND MOBILE,US209 US289 NG124,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
470-512,0.4700-0.5120,kHz,BROADCASTING | Fixed | Mobile,5.292 5.293 5.295,FIXED | MOBILE 5.296A | BROADCASTING,,,FIXED | LAND MOBILE | BROADCASTING,NG5 NG14 NG66 NG115 NG149,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
479-495,0.4790-0.4950,kHz,MARITIME MOBILE 5.79 5.79A | Aeronautical radionavigation 5.77 5.80,5.82,,MARITIME MOBILE 5.79 | Aeronautical radionavigation,5.79A 5.82 US2 US231,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
495-505,0.4950-0.5050,kHz,,,,MARITIME MOBILE,,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
505-510,0.5050-0.5100,kHz,MARITIME MOBILE 5.79,,MARITIME MOBILE 5.79 5.79A 5.84 | AERONAUTICAL RADIONAVIGATION | Aeronautical mobile | Land mobile,MARITIME MOBILE 5.79,,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
510-525,0.5100-0.5250,kHz,MARITIME MOBILE 5.79A 5.84 | AERONAUTICAL RADIONAVIGATION,,,,,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
512-608,0.5120-0.6080,kHz,BROADCASTING,5.295 5.297,,,,BROADCASTING,NG5 NG14 NG115 NG149,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
525-535,0.5250-0.5350,kHz,BROADCASTING 5.86 | AERONAUTICAL RADIONAVIGATION,,,,,,,"AM/FM radios, DAB receivers, TV sets; ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
526.5-535,0.5265-0.5350,kHz,,,BROADCASTING | Mobile,MOBILE,,,US221,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
535-1605,0.5350-1.6050,kHz,BROADCASTING,,BROADCASTING,,,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
608-614,0.6080-0.6140,kHz,RADIO ASTRONOMY | Mobile-satellite except aeronautical | mobile-satellite (Earth-to-space),,,LAND MOBILE (medical telemetry and medical telecommand) | RADIO ASTRONOMY US74,US246,,,"Radio telescopes, scientific receivers; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
890-902,0.8900-0.9020,kHz,FIXED | MOBILE except aeronautical | mobile 5.317A | Radiolocation,5.318 5.325,,,US116 US268 G2,(See previous page),,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
